;Nome ;CEP;
279;Bom;Preco Construcao Eireli;gerencia@contabilidadecavalcante.com.br;;;;551147739626;;CONCRETO BOM PRECO;;;33001569000120;4120400 - CONSTRUCAO DE EDIFICIOS;| 4744005 - COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE | 4744099 - COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL | 9521500 - REPARACAO E MANUTENCAO DE EQUIPAMENTOS ELETROELETRONICOS DE USO PESSOAL E DOMESTICO | 4753900 - COMERCIO VAREJISTA ESPECIALIZADO DE ELETRODOMESTICOS E EQUIPAMENTOS DE AUDIO E VIDEO | 4321500 - INSTALACAO E MANUTENCAO ELETRICA | 4322301 - INSTALACOES HIDRAULICAS, SANITARIAS E DE GAS | 4399103 - OBRAS DE ALVENARIA | 7739099 - ALUGUEL DE OUTRAS MAQUINAS E EQUIPAMENTOS COMERCIAIS E INDUSTRIAIS NAO ESPECIFICADOS ANTERIORMENTE, SEM OPERADOR | 7719599 - LOCACAO DE OUTROS MEIOS DE TRANSPORTE NAO ESPECIFICADOS ANTERIORMENTE, SEM CONDUTOR | 8130300 - ATIVIDADES PAISAGISTICAS | 8111700 - SERVICOS COMBINADOS PARA APOIO A EDIFICIOS, EXCETO CONDOMINIOS PREDIAIS | 8121400 - LIMPEZA EM PREDIOS E EM DOMICILIOS | 4330499 - OUTRAS OBRAS DE ACABAMENTO DA CONSTRUCAO |;CNE,Redrive;;;;BARUERI;SP;6448160;CONSTRUCAO DE EDIFICIOS;;;;
280;Blockmix;Concretos Ltda;marcelo.holmo@blockmixconcretos.com.br;;;;5543991350057;;BLOCKMIX;;;01395890000140;2330305 - PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;CNE,Redrive;;;;ASSIS;SP;19802130;PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;;;
282;Boitumix;Concreto E Obras Eireli;dnp@grupodnp.com.br;;;;551532822251;;;;;32103838000105;2330305 - PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;| 4744005 - COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE | 4399199 - SERVICOS ESPECIALIZADOS PARA CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE | 7732201 - ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR, EXCETO ANDAIMES |;CNE,Redrive;;;;BOITUVA;SP;18550000;PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;;;
284;Alan;Guilherme Da Silva;nbscontabilidade2018@gmail.com;;;;5519983885791;;AG LOCACAO BOMBA DE CONCRETO;;;32507067000103;7732201 - ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR, EXCETO ANDAIMES;;CNE,Redrive;;;;AGUAS DE LINDOIA;SP;13940000;ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR, EXCETO ANDAIMES;;;;
285;Amorim;& Silva Construtora Ltda;goldonicontadores@terra.com.br;;;;5518997067508;;R C IMPERIO DO CONCRETO;;;08731296000122;4120400 - CONSTRUCAO DE EDIFICIOS;;CNE,Redrive;;;;JUNQUEIROPOLIS;SP;17890000;CONSTRUCAO DE EDIFICIOS;;;;
286;Andrea;Catarina Grandis De Oliveira;societario@innovarecontabilidade.net;;;;551934159929;;M. A. BOMBEAMENTO E CONCRETO;;;23232449000180;4399199 - SERVICOS ESPECIALIZADOS PARA CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;;CNE,Redrive;;;;PIRACICABA;SP;13403640;SERVICOS ESPECIALIZADOS PARA CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;;;;
287;Brasmix;Engenharia De Concreto Ltda;comercial85@brasmix.com.br;;;;551934447997;;BRASMIX ENGENHARIA DE CONCRETO S/A;;;18710988003910;2330305 - PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;| 6463800 - OUTRAS SOCIEDADES DE PARTICIPACAO, EXCETO HOLDINGS | 7112000 - SERVICOS DE ENGENHARIA | 7732201 - ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR, EXCETO ANDAIMES |;CNE,Redrive;;;;LIMEIRA;SP;13481149;PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;;;
289;C;& E Concreto E Epoxi Ltda.;contato@gescont.srv.br;;;;551139962581;551139962578;UTI DO PISO;;;01894258000141;4744005 - COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;| 3319800 - MANUTENCAO E REPARACAO DE EQUIPAMENTOS E PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE | 4744001 - COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS | 4789099 - COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE | 7732201 - ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR, EXCETO ANDAIMES | 7732202 - ALUGUEL DE ANDAIMES | 8299799 - OUTRAS ATIVIDADES DE SERVICOS PRESTADOS PRINCIPALMENTE AS EMPRESAS NAO ESPECIFICADAS ANTERIORMENTE |;CNE,Redrive;;;;SAO BERNARDO DO CAMPO;SP;9862000;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;;;;
290;C;Mix Concreto Eireli;fernanda.cmix@gmail.com;;;;551233410229;5512974030833;;;;22302495000146;4399199 - SERVICOS ESPECIALIZADOS PARA CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;| 4744099 - COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL | 7732201 - ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR, EXCETO ANDAIMES | 5223100 - ESTACIONAMENTO DE VEICULOS |;CNE,Redrive;;;;JACAREI;SP;12327350;SERVICOS ESPECIALIZADOS PARA CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;;;;
292;C.;M. C. De Araujo Concreto;wbo144@gmail.com;;;;551146401111;;USAMIX CONCRETO E SERVICOS;;;30849982000151;4399199 - SERVICOS ESPECIALIZADOS PARA CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;| 2330301 - FABRICACAO DE ESTRUTURAS PRE-MOLDADAS DE CONCRETO ARMADO, EM SERIE E SOB ENCOMENDA | 4399102 - MONTAGEM E DESMONTAGEM DE ANDAIMES E OUTRAS ESTRUTURAS TEMPORARIAS | 4744099 - COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL | 7732202 - ALUGUEL DE ANDAIMES |;CNE,Redrive;;;;FERRAZ DE VASCONCELOS;SP;8527000;SERVICOS ESPECIALIZADOS PARA CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;;;;
293;Camargo;Concretos Eireli;falgat@terra.com.br;;;;551145297315;;;;;26802698000152;2330305 - PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;| 2330301 - FABRICACAO DE ESTRUTURAS PRE-MOLDADAS DE CONCRETO ARMADO, EM SERIE E SOB ENCOMENDA | 2330302 - FABRICACAO DE ARTEFATOS DE CIMENTO PARA USO NA CONSTRUCAO | 4744099 - COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL | 7732201 - ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR, EXCETO ANDAIMES | 4313400 - OBRAS DE TERRAPLENAGEM |;CNE,Redrive;;;;CABREUVA;SP;13318000;PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;;;
323;Alaor;e Maira Engenharia Civil;alaormaciel@yahoo.com.br;;alaoremairaengenharia;;5535999362025;5535999362025;;;;;;;Instagram,prudemquimica,seguidores;;;;;;;;;;;
380;Usimix;Concreto e Argamassa;usimix@usimixconcreto.com.br;;usimixconcretovca;;557734255100;557734255100;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
395;GRUPO;EMAQ;guilherme@emaq.ind.br;;grupoemaq;;;;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
405;CONPASA;CONSTRUTORA PARAIBANA LTDA;conpasapb@gmail.com;;conpasapb;;5583999993219;5583999993219;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
422;CONCRELAGOS;_FSA ALCIONE SOUZA;alcionesouzadahora@gmail.com;;concrelagos_alcione;;5575999426583;5575999426583;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
433;BSB;mix 4104 6005;;;bsbmix_concreto;;5561984162275;5561984162275;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
434;Jaimix;Concreto Usinado;dani_nha_almeida@hotmail.com;;jai_mixconcretousinado;;5561991555152;5561991555152;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
450;A.Mendonça;Concretos e Argamassas;rh@amendoncaconcretos.com.br;;amendoncaconcretos;;554734431106;554734431106;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
469;InfraBrasil;Obras pesadas;contato@infrabrasil.net.br;;infrabrasilobraspesadas;;551141616402;551141616402;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
471;Lorenzi;Maquinarias CA;info@lorenzi.com;;maqlorenzi;;584149730363;584149730363;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
491;JL;Concretos •Concretos•Argamassa usinada ⚜️;jlconcretosfinanceiro@hotmail.com;;jlconcretos;;554497559470;554497559470;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
501;Gigamix;Concreto & Fundações (Unidade Patrocínio/MG);comercialptc@gigamix.com.br;;gigamixconcreto;;;;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
511;Grupo;Cimentão;;;grupocimentao;;553732161000;553732161000;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
522;Minermix;Concreto;minermixconcreto@hotmail.com;;minermixconcreto;;5513996702030;5513996702030;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
525;Usina;Costa Mix | Concreto usinado e bombeamento;usinacostamixadm@gmail.com;;usinacostamix;;551146366123;551146366123;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
539;Heinig;Soluções Concretas;heinig@argheinig.com.br;;heinigsolucoesconcretas;;;;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
552;Venda;de concreto usinado;hbconcretosvendas27@gmail.com;;hbmix_concretousinado61;;5561992926526;5561992926526;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
560;Fort;Bombas Concreto E Servicos Ltda;forbombas@hotmail.com;;;;5519997416589;;FORT BOMBAS;;;14685922000194;4744005 - COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;;CNE,Nutrindo;;;;HORTOLANDIA;SP;13189210;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;;;;
561;Eco;Bello Produtos Ecologicos Ltda;ecobello@ecobello.com.br;;;;551938689398;;ECO BELLO;;;14978049000128;2330305 - PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;| 6810201 - COMPRA E VENDA DE IMOVEIS PROPRIOS |;CNE,Sem WhatsApp;;;;ESTIVA GERBI;SP;13857000;PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;;;
562;Claudineia;Belino Paulino;clau.belinno@gmail.com;;;;5511995178453;;POLYTECH BRASIL LOCACOES E SERVICOS DE CONCRETO;;;37718809000163;7732201 - ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR, EXCETO ANDAIMES;| 8512100 - EDUCACAO INFANTIL - PRE-ESCOLA |;CNE,Nutrindo,Redrive;;;;SAO PAULO;SP;2221020;ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR, EXCETO ANDAIMES;;;;
563;Cibele;Galvao Dos Anjos;mixbrasilconcreto@gmail.com;;;;551122323607;;MIX CONCRETO BRASIL;;;37836778000145;7732201 - ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR, EXCETO ANDAIMES;;CNE,Redrive,Sem WhatsApp;;;;SAO PAULO;SP;2441180;ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR, EXCETO ANDAIMES;;;;
565;Central;De Concreto Fercon Ltda;serra-calculos@hotmail.com;;;;551836071300;;;;;03767578000166;4120400 - CONSTRUCAO DE EDIFICIOS;;CNE,Nutrindo,Redrive;;;;ARACATUBA;SP;16010220;CONSTRUCAO DE EDIFICIOS;;;;
566;Cenafer;Central De Armacao De Ferro Ltda;cenafer@cenafer.com.br;;cenaferfranca;;551637018244;551637018244;;;;64528706000294;2330305 - PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;| 2330301 - FABRICACAO DE ESTRUTURAS PRE-MOLDADAS DE CONCRETO ARMADO, EM SERIE E SOB ENCOMENDA | 4391600 - OBRAS DE FUNDACOES | 4744001 - COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS |;CNE,Instagram,Nutrindo,Redrive,limpaconcreto,seguidores;;;;FRANCA;SP;14406100;PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;;;
568;Cdc;Concreto Ltda;andrade.laercio@terra.com.br;;;;551150580128;551123314828;CDC CONCRETO E SERVICOS DE CONCRETAGEM;;;04985278000116;2330305 - PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;CNE,Redrive,Sem WhatsApp;;;;SAO PAULO;SP;8265000;PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;;;
569;Lider;Concreto Ltda;atendimento@liderconcreto.com.br;;;;551633537242;551633537225;LIDER CONCRETO;;;10899199000195;2330305 - PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;CNE,Sem WhatsApp;;;;IBATE;SP;14815000;PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;;;
571;Carlos;& Dolores Bombeamento De Concreto Ltda;dricamix72@hotmail.com;;;;551141413874;551141413874;DRICAMIX BOMBEAMENTO DE CONCRETO;;;14104261000166;4399199 - SERVICOS ESPECIALIZADOS PARA CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;| 7719599 - LOCACAO DE OUTROS MEIOS DE TRANSPORTE NAO ESPECIFICADOS ANTERIORMENTE, SEM CONDUTOR | 7732201 - ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR, EXCETO ANDAIMES | 4744099 - COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL |;CNE,Redrive,Sem WhatsApp;;;;ITAPEVI;SP;6693080;SERVICOS ESPECIALIZADOS PARA CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;;;;
572;Cardimix;Concreto & Reboco Eireli;pecorare@pecorare.com.br;;;;551633823003;551633831919;CARDIMIX CONCRETO & REBOCO;;;19412855000158;2330305 - PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;CNE,Nutrindo,Redrive;;;;MATAO;SP;15993200;PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;;;
574;Armazem;Do Concreto Eireli;bruna@recupereengenharia.com.br;;;;551934144021;551934144022;ARMAZEM DO CONCRETO;;;05332933000108;2330302 - FABRICACAO DE ARTEFATOS DE CIMENTO PARA USO NA CONSTRUCAO;| 2330301 - FABRICACAO DE ESTRUTURAS PRE-MOLDADAS DE CONCRETO ARMADO, EM SERIE E SOB ENCOMENDA | 4744099 - COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL | 7732201 - ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR, EXCETO ANDAIMES |;CNE,Redrive;;;;CERQUILHO;SP;18520000;FABRICACAO DE ARTEFATOS DE CIMENTO PARA USO NA CONSTRUCAO;;;;
576;Barreto;Cortes E Furos Em Concreto Eireli;barretocortesefuros@gmail.com;;;;551146853324;;BARRETO CORTES E FUROS;;;31724919000151;7732201 - ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR, EXCETO ANDAIMES;| 4391600 - OBRAS DE FUNDACOES | 4744001 - COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS | 4789099 - COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE | 7732202 - ALUGUEL DE ANDAIMES | 3319800 - MANUTENCAO E REPARACAO DE EQUIPAMENTOS E PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE |;CNE,Redrive;;;;TABOAO DA SERRA;SP;6780010;ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR, EXCETO ANDAIMES;;;;
577;Bezerra;Bombeamento De Concreto Eireli;dlbombeamento@outlook.com;;;;5512991169553;5512991386449;;;;29230274000159;4330499 - OUTRAS OBRAS DE ACABAMENTO DA CONSTRUCAO;;CNE,Redrive;;;;PINDAMONHANGABA;SP;12444170;OUTRAS OBRAS DE ACABAMENTO DA CONSTRUCAO;;;;
579;Abf;Concreto Gruppi Ltda;inove.contabilidade@terra.com.br;;;;551438412885;;GRUPPI MATERIAIS PARA CONSTRUCOES E CACAMBA;;;00955382000107;4399199 - SERVICOS ESPECIALIZADOS PARA CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;| 4679699 - COMERCIO ATACADISTA DE MATERIAIS DE CONSTRUCAO EM GERAL | 2330305 - PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO | 7732201 - ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR, EXCETO ANDAIMES | 4313400 - OBRAS DE TERRAPLENAGEM | 7719599 - LOCACAO DE OUTROS MEIOS DE TRANSPORTE NAO ESPECIFICADOS ANTERIORMENTE, SEM CONDUTOR |;CNE,Redrive;;;;SAO MANUEL;SP;18650000;SERVICOS ESPECIALIZADOS PARA CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;;;;
581;A.k.d.;Marques Locacao De Maquinas Para Construcao;celso.marques@econcreto.ind.br;;;;551124270514;;;;;31266822000142;7732201 - ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR, EXCETO ANDAIMES;;CNE,Redrive;;;;ATIBAIA;SP;12947650;ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR, EXCETO ANDAIMES;;;;
582;Af;Da Silva Comercio E Servicos De Construcao Civil;artefatodeconcretoisrael@gmail.com;;;;5511986672213;;ARTEFATO DE CONCRETO ISRAEL;;;36904848000192;4120400 - CONSTRUCAO DE EDIFICIOS;| 4399103 - OBRAS DE ALVENARIA | 4672900 - COMERCIO ATACADISTA DE FERRAGENS E FERRAMENTAS | 4744004 - COMERCIO VAREJISTA DE CAL, AREIA, PEDRA BRITADA, TIJOLOS E TELHAS |;CNE,Redrive;;;;VARGEM GRANDE PAULISTA;SP;6730000;CONSTRUCAO DE EDIFICIOS;;;;
583;Alpes;Comercio De Materiais De Construcao Ltda;;;;;551136479040;;ALPES;;;01450313000104;2330399 - FABRICACAO DE OUTROS ARTEFATOS E PRODUTOS DE CONCRETO, CIMENTO, FIBROCIMENTO, GESSO E MATERIAIS SEMELHANTES;| 9493600 - ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS LIGADAS A CULTURA E A ARTE | 9499500 - ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE |;CNE,Redrive;;;;CAIEIRAS;SP;7726625;FABRICACAO DE OUTROS ARTEFATOS E PRODUTOS DE CONCRETO, CIMENTO, FIBROCIMENTO, GESSO E MATERIAIS SEMELHANTES;;;;
589;Antonio;Euclides De Vasconcellos & Cia Ltda;atendimento@f1contabil.com;;;;551938969410;;ARCOBA ARTEFATOS DE CONCRETO;;;71822761000177;2330302 - FABRICACAO DE ARTEFATOS DE CIMENTO PARA USO NA CONSTRUCAO;| 2330301 - FABRICACAO DE ESTRUTURAS PRE-MOLDADAS DE CONCRETO ARMADO, EM SERIE E SOB ENCOMENDA | 4744004 - COMERCIO VAREJISTA DE CAL, AREIA, PEDRA BRITADA, TIJOLOS E TELHAS | 4744099 - COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL |;CNE,Redrive;;;;SANTO ANTONIO DE POSSE;SP;13830080;FABRICACAO DE ARTEFATOS DE CIMENTO PARA USO NA CONSTRUCAO;;;;
591;Arga;Celit Comercio De Argamassa Eireli;argacelit@gmail.com;;;;5517997727271;;* ARGA CELLIT *;;;31105775000155;2330305 - PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;CNE,Redrive;;;;SAO JOSE DO RIO PRETO;SP;15044694;PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;;;
592;Argamassa;Jkf Ltda;adrianorosa1998@hotmail.com;;;;5516997072505;;ARGAMASSA JKF;;;01708739000115;2330305 - PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;| 6399200 - OUTRAS ATIVIDADES DE PRESTACAO DE SERVICOS DE INFORMACAO NAO ESPECIFICADAS ANTERIORMENTE | 7410299 - ATIVIDADES DE DESIGN NAO ESPECIFICADAS ANTERIORMENTE | 7490105 - AGENCIAMENTO DE PROFISSIONAIS PARA ATIVIDADES ESPORTIVAS, CULTURAIS E ARTISTICAS | 7490199 - OUTRAS ATIVIDADES PROFISSIONAIS, CIENTIFICAS E TECNICAS NAO ESPECIFICADAS ANTERIORMENTE | 8219999 - PREPARACAO DE DOCUMENTOS E SERVICOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NAO ESPECIFICADOS ANTERIORMENTE | 8299703 - SERVICOS DE GRAVACAO DE CARIMBOS, EXCETO CONFECCAO | 8299707 - SALAS DE ACESSO A INTERNET |;CNE,Redrive;;;;SAO CARLOS;SP;13573396;PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;;;
593;Blocasa;Pre Moldados De Concreto Ltda;juridico@santacruz.com.br;;;;551532513279;551532057999;BLOCASA PRE- MOLDADOS DE CONCRETO LTDA;;;61554945000220;2330302 - FABRICACAO DE ARTEFATOS DE CIMENTO PARA USO NA CONSTRUCAO;| 4744005 - COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE |;CNE,Redrive;;;;TATUI;SP;18270001;FABRICACAO DE ARTEFATOS DE CIMENTO PARA USO NA CONSTRUCAO;;;;
594;Bonamix;Servicos De Concretagem Ltda;concrebon@terra.com.br;;;;551934244040;;;;;08877121000128;2330305 - PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;| 4744099 - COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL | 7732201 - ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR, EXCETO ANDAIMES |;CNE,Redrive;;;;PIRACICABA;SP;13423170;PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;;;
595;Bonamix;Servicos De Concretagem Ltda;sac@concrebon.com.br;;;;551934299900;;;;;08877121000470;2330305 - PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;| 4744099 - COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL | 7732201 - ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR, EXCETO ANDAIMES |;CNE,Redrive;;;;ITUPEVA;SP;13295000;PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;;;
596;Brad;Mix Concreto Eireli;pecorare@pecorare.com.br;;;;551635060909;551633831919;;;;36688556000160;2330305 - PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;| 2330301 - FABRICACAO DE ESTRUTURAS PRE-MOLDADAS DE CONCRETO ARMADO, EM SERIE E SOB ENCOMENDA | 2330302 - FABRICACAO DE ARTEFATOS DE CIMENTO PARA USO NA CONSTRUCAO | 2330303 - FABRICACAO DE ARTEFATOS DE FIBROCIMENTO PARA USO NA CONSTRUCAO | 4679699 - COMERCIO ATACADISTA DE MATERIAIS DE CONSTRUCAO EM GERAL | 4744099 - COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL | 4930202 - TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL |;CNE,Redrive;;;;MATAO;SP;15998030;PREPARACAO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUCAO;;;;
597;Brumi;Materiais De Construcao Ltda;contato@contato.com.br;;;;5517997579695;;;;;29277318000104;2330399 - FABRICACAO DE OUTROS ARTEFATOS E PRODUTOS DE CONCRETO, CIMENTO, FIBROCIMENTO, GESSO E MATERIAIS SEMELHANTES;| 7210000 - PESQUISA E DESENVOLVIMENTO EXPERIMENTAL EM CIENCIAS FISICAS E NATURAIS | 7490199 - OUTRAS ATIVIDADES PROFISSIONAIS, CIENTIFICAS E TECNICAS NAO ESPECIFICADAS ANTERIORMENTE | 4729699 - COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE | 4789004 - COMERCIO VAREJISTA DE ANIMAIS VIVOS E DE ARTIGOS E ALIMENTOS PARA ANIMAIS DE ESTIMACAO | 4623109 - COMERCIO ATACADISTA DE ALIMENTOS PARA ANIMAIS |;CNE,Redrive;;;;COSMORAMA;SP;15530000;FABRICACAO DE OUTROS ARTEFATOS E PRODUTOS DE CONCRETO, CIMENTO, FIBROCIMENTO, GESSO E MATERIAIS SEMELHANTES;;;;
598;C.a.;Construcao Civil E Imoveis Ltda;legal@escritorioclaudiocru.com.br;;;;551138453500;;CONCRETO ARMADO;;;12670605000179;4120400 - CONSTRUCAO DE EDIFICIOS;| 7732201 - ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR, EXCETO ANDAIMES |;CNE,Redrive;;;;SAO PAULO;SP;4548002;CONSTRUCAO DE EDIFICIOS;;;;
620;Mateus;Mjr Mecânica;;;pecas_brasilia.fusca;;5531996059918;5531996059918;;;;;;;Instagram,prudemquimica,seguidores;;;;;;;;;;;
711;Real;Beton;vendas@realbeton.com.br;;realbetonconcretos;;553137625220;553137625220;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
715;SD;MIX CONCRETOS | Concreteira;sdmixconcretos@gmail.com;;sdmix_concretos;;5567999781141;5567999781141;;;;;;;Instagram,limpaconcreto,seguidores;;;;;;;;;;;
